Herb name in Pinyin,Herb Property,Herb Meridian Tropism,Herb Flavor
HUANG SHAN YAO,Even,"Stomach meridian,Heart meridian","Bitter,Mildly pungent"
HUANG SHU KUI HUA,Cold,"Bladder meridian,Kidney meridian",Sweet
HUO MA REN,Even,"Large intestine meridian,Spleen meridian,Stomach meridian",Sweet
JI GU CAO,Cool,"Liver meridian,Stomach meridian","Sweet,Mildly bitter"
JI GUAN HUA,Cool,"Large intestine meridian,Liver meridian","Sweet,Astringent"
JI XUE TENG,Warm,"Liver meridian,Kidney meridian","Sweet,Bitter"
JI XUE CAO,Cold,"Liver meridian,Spleen meridian,Kidney meridian","Bitter,Pungent"
JI XING ZI,Warm,"Lung meridian,Liver meridian","Mildly bitter,Pungent"
JI LI,Mildly warm,Liver meridian,"Bitter,Pungent"
JIANG HUANG,Warm,"Liver meridian,Spleen meridian","Bitter,Pungent"
JIANG XIANG,Warm,"Liver meridian,Spleen meridian",Pungent
JIAO ZHI ZI,Cold,"Lung meridian,Triple burner meridian,Heart meridianOthers meridian",Bitter
JIE ZI,Warm,Lung meridian,Pungent
JIN FEI CAO,Warm,"Large intestine meridian,Lung meridian","Bitter,Salty,Pungent"
JIN GUO LAN,Cold,"Large intestine meridian,Lung meridian",Bitter
JIN QIAN CAO,Mildly cold,"Bladder meridian,Gallbladder meridian,Liver meridian,Kidney meridian","Sweet,Salty"
JIN TIE SUO,Warm,Liver meridian,"Bitter,Pungent"
JIN YIN HUA,Cold,"Lung meridian,Stomach meridian,Heart meridian",Sweet
JIN YING ZI,Even,"Bladder meridian,Large intestine meridian,Kidney meridian","Sweet,Astringent,Sour"
JIN GU CAO,Cold,Lung meridian,Bitter
JING JIE,Mildly warm,"Lung meridian,Liver meridian","Astringent,Pungent"
JIU LI XIANG,Warm,N/AOthers meridian,"Mildly bitter,Pungent"
JIU CAI ZI,Warm,"Liver meridian,Kidney meridian","Sweet,Pungent"
JIU BI YING,Cold,"Large intestine meridian,Lung meridian,Liver meridian,Stomach meridian",Bitter
JIE GENG,Even,Lung meridian,"Bitter,Pungent"
JU HUA,Mildly cold,"Lung meridian,Liver meridian","Sweet,Bitter"
JU JU,Cool,"Gallbladder meridian,Liver meridian,Stomach meridian","Mildly bitter,Salty"
JU HE,Even,"Liver meridian,Kidney meridian",Bitter
JUAN BAI,Even,"Liver meridian,Heart meridian",Pungent
JUE MING ZI,Mildly cold,"Large intestine meridian,Liver meridian","Sweet,Bitter,Salty"
KE TENG ZI,Cool,"Liver meridian,Spleen meridian,Kidney meridian,Stomach meridian",Mildly bitter
KU SHEN,Cold,"Bladder meridian,Large intestine meridian,Liver meridian,Stomach meridian,Heart meridian",Bitter
KU DI DING,Cold,"Large intestine meridian,Liver meridian,Heart meridian",Bitter
KU LIAN PI,Cold,"Liver meridian,Spleen meridian,Stomach meridian",Bitter
KU MU,Cold,"Large intestine meridian,Lung meridian",Bitter
KU XING REN,Warm,"Lung meridian, Large intestine meridian",Bitter
KU XUAN SHEN,Cold,"Lung meridian,Liver meridian,Stomach meridian",Bitter
KUAN DONG HUA,Warm,Lung meridian,"Mildly bitter,Pungent"
