Unnamed_0,molecular_weight, alogp, logd, molecular_solubility, molecular_volume, molecular_surface_area, molecular_polar_surface_area, num_rotatable_bonds, num_h_acceptors, num_h_donors, adm_absorption_level, adm_bbb_level, adm_bbb, adm_solubility, adm_solubility_level, adm_hepatotoxicity, adm_hepatotoxicity_probability, adm_cyp2d6, adm_cyp2d6_probability, adm_ppb_level, druglikeness_weight,isGreatCold,isCold,isMildlyCold,isCool,isEven,isWarm,isMildlyWarm,isHot,isGreatHot,isLiverMeridian,isSpleenMeridian,isKidneyMeridian,isHeartMeridian,isLargeIntestineMeridian,isStomachMeridian,isLungMeridian,isGallbladderMeridian,isTripleBurnerMeridian,isBladderMeridian,isOthersMeridian,isSmallIntestineMeridian,isPericardiumMeridian,isBitter,isPungent,isSweet,isAstringent,isMildlyBitter,isSalty,isMildlySweet,isSour
695,415.47946,2.212,1.317,-2.599,281.94,382.8,74.3,2.0,7.0,0.0,0.0,3.0,-0.636,-4.365,2.0,1.0,0.609,0.0,0.475,2.0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
696,403.46876,1.092,-0.468,-1.518,267.53,360.03,77.46,4.0,7.0,1.0,0.0,3.0,-1.038,-3.411,3.0,1.0,0.7879999999999999,0.0,0.35600000000000004,0.0,0.7040000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
697,431.47886,1.586,0.16399999999999998,-1.786,275.42,382.28,83.53,2.0,8.0,0.0,0.0,3.0,-0.971,-4.117,2.0,1.0,0.8009999999999999,0.0,0.415,2.0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
698,405.48464,1.941,0.384,-1.928,264.1,375.61,77.46,3.0,7.0,1.0,0.0,3.0,-0.775,-3.949,3.0,1.0,0.8740000000000001,0.0,0.435,0.0,0.7190000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
699,421.48404000000005,1.134,1.134,-3.094,288.11,389.44,91.29,3.0,7.0,1.0,0.0,3.0,-1.692,-2.095,3.0,1.0,0.8340000000000001,0.0,0.415,0.0,0.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
700,389.48524,2.9130000000000003,1.379,-2.789,270.62,357.07,65.06,2.0,6.0,0.0,0.0,2.0,-0.278,-4.938,2.0,1.0,0.7609999999999999,0.0,0.376,0.0,0.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
701,387.46936,2.4530000000000003,0.893,-2.338,261.36,347.04,57.23,4.0,6.0,0.0,0.0,2.0,-0.28800000000000003,-4.758,2.0,1.0,0.529,0.0,0.35600000000000004,0.0,0.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
702,391.50112,2.884,2.873,-2.869,268.22,359.29,65.06,2.0,6.0,0.0,0.0,2.0,-0.287,-4.948,2.0,1.0,0.609,0.0,0.445,0.0,0.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
703,347.4055,1.551,-0.009000000000000001,-1.57,221.92,313.74,57.23,1.0,6.0,0.0,0.0,3.0,-0.5670000000000001,-3.898,3.0,1.0,0.7879999999999999,0.0,0.35600000000000004,0.0,0.6709999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
704,254.23441,-3.155,-3.155,0.914,162.23,250.02,139.84,5.0,8.0,6.0,3.0,4.0,0.0034031952342269208,2.131,5.0,0.0,0.086,0.0,0.029,0.0,0.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
